"id","Survey","Race","Gender","Education","Age_Group","Region","quota_cohort","LikelyVote","PartyAffiliate","survey_weight","Question1_Version","Experiment1_Question","Question2_Version","Experiment2_Question","EconomicConditions","EconomicExpect","CoronaWorry","CoronaChange","CoronaWork"
49,"Political Survey","White","Female","HS or Less","65+","Midwest","Midwest::65+::Female","Definitely will vote","Independent or another party",1.11268190252824,"Version B","1000","Version A","A","Good","Get worse",NA,NA,NA
50,"Political Survey","White","Female","HS or Less","65+","Midwest","Midwest::65+::Female","Definitely will vote","Independent or another party",1.11268190252824,"Version B","1000","Version A","A","Good","Get worse",NA,NA,NA
51,"Political Survey","Black or African American","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.839691986795367,"Version A","280","Version A","C","Poor","Get worse",NA,NA,NA
52,"Political Survey","White","Female","Some College or Associate","35-44","West","West::35-44::Female","Likely will vote","Independent or another party",0.807137978879975,"Version B","100","Version A","B","Poor","Don't know",NA,NA,NA
53,"Coronavirus Survey","Hispanic","Male","College Grad","35-44","South","South::35-44::Male","Likely will not vote","Independent or another party",1.28603503932427,"Version A","10","Version A","B","Excellent","Stay about the same","Not worried at all","No, not changing routines or plans","Working from home"
54,"Coronavirus Survey","White","Male","HS or Less","45-64","Northeast","Northeast::45-64::Male","Likely will not vote","Independent or another party",0.978184743899664,"Version A","100","Version B","C","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Laid off"
55,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.812677566010643,"Version B","10000000000","Version A","B","Only Fair","Get worse",NA,NA,NA
56,"Political Survey","White","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Independent or another party",0.785977552021026,"Version B","1000","Version A","A","Only Fair","Stay about the same",NA,NA,NA
57,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Independent or another party",0.904731188571337,"Version B","100000","Version B","C","Only Fair","Get worse",NA,NA,NA
58,"Coronavirus Survey","Black or African American","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will not vote","Independent or another party",0.928034963361634,"Version B","10","Version A","C","Only Fair","Stay about the same","Not too worried","No, not changing routines or plans","Not changed"
59,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will not vote","Independent or another party",0.910278979871321,"Version B","1000","Version A","A","Good","Don't know","Somewhat worried","No, not changing routines or plans","Not changed"
60,"Coronavirus Survey","White","Male","College Grad","35-44","Northeast","Northeast::35-44::Male","Definitely will vote","Republican Party",0.529537853757497,"Version B","10000","Version B","B","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Working from home"
61,"Coronavirus Survey","White","Female","College Grad","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",0.627370461031677,"Version A","100","Version B","C","Good","Stay about the same","Somewhat worried","Yes, changing routines or plans","Other change"
62,"Coronavirus Survey","White","Male","HS or Less","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",1.14132591733739,"Version B","100","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
63,"Political Survey","White","Female","College Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Independent or another party",0.564637303417824,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
64,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.747325603852101,"Version B","10000000000","Version A","A","Good","Stay about the same",NA,NA,NA
65,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Likely will vote","Democratic Party",0.913669251303991,"Version B","1000","Version B","B","Poor","Stay about the same",NA,NA,NA
66,"Political Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.731414846446271,"Version B","100000000","Version B","C","Only Fair","Get worse",NA,NA,NA
67,"Political Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Republican Party",0.859811243045167,"Version A","100","Version A","C","Good","Get worse",NA,NA,NA
68,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version B","1000","Version A","B","Only Fair","Improve",NA,NA,NA
69,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version B","90","Version B","B","Good","Improve",NA,NA,NA
70,"Coronavirus Survey","White","Male","College Grad","18-34","West","West::18-34::Male","Definitely will vote","Democratic Party",1.61138319873798,"Version B","100","Version B","B","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
71,"Political Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",0.933738513078202,"Version B","100000000","Version B","C","Good","Improve",NA,NA,NA
72,"Political Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",0.933738513078202,"Version B","200","Version A","C","Poor","Get worse",NA,NA,NA
73,"Coronavirus Survey","White","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",0.821751322763416,"Version B","1000000000","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
74,"Coronavirus Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Democratic Party",0.968063991660096,"Version B","1000","Version A","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
75,"Coronavirus Survey","White","Male","HS or Less","18-34","South","South::18-34::Male","Likely will vote","Independent or another party",2.30939404016988,"Version B","100000","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
76,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.01141412338944,"Version B","100000000000","Version B","C","Good","Improve","Not too worried","No, not changing routines or plans","Not changed"
77,"Coronavirus Survey","Other","Male","Post-Grad","35-44","West","West::35-44::Male","Definitely will vote","Republican Party",1.15577949699608,"Version A","10","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Working from home"
78,"Coronavirus Survey","Black or African American","Female","College Grad","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.63960800555892,"Version B","100","Version A","C","Only Fair","Get worse","Not too worried","Yes, changing routines or plans","Working from home"
79,"Political Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Likely will vote","Republican Party",1.01141412338944,"Version B","1000","Version B","B","Only Fair","Improve",NA,NA,NA
80,"Coronavirus Survey","White","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",0.826442391461008,"Version A","100","Version B","B","Good","Improve","Not too worried","Yes, changing routines or plans","Laid off"
81,"Coronavirus Survey","White","Male","Some College or Associate","65+","West","West::65+::Male","Definitely will vote","Independent or another party",1.22579114699047,"Version A","100","Version A","A","Only Fair","Improve","Not too worried","No, not changing routines or plans","Laid off"
82,"Coronavirus Survey","Black or African American","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.931491365733189,"Version B","100","Version B","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
83,"Political Survey","Black or African American","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.931491365733189,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
84,"Political Survey","White","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Republican Party",0.734138950719982,"Version B","500","Version B","B","Good","Improve",NA,NA,NA
85,"Political Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Likely will not vote","Independent or another party",0.823626259055456,"Version B","1000","Version B","A","Only Fair","Get worse",NA,NA,NA
86,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Republican Party",0.859811243045167,"Version B","10000","Version A","A","Good","Improve","Somewhat worried","No, not changing routines or plans","Not changed"
87,"Political Survey","White","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Republican Party",0.734138950719982,"Version A","100","Version B","C","Good","Improve",NA,NA,NA
88,"Political Survey","Black or African American","Female","HS or Less","18-34","Midwest","Midwest::18-34::Female","Likely will vote","Democratic Party",0.896900674503503,"Version B","1000","Version A","B","Only Fair","Get worse",NA,NA,NA
89,"Coronavirus Survey","Black or African American","Female","HS or Less","18-34","Midwest","Midwest::18-34::Female","Likely will vote","Democratic Party",0.896900674503503,"Version A","100","Version A","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Not changed"
90,"Coronavirus Survey","White","Male","HS or Less","65+","West","West::65+::Male","Definitely will vote","Democratic Party",1.52555272871365,"Version B","5358709120","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
91,"Coronavirus Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Definitely will vote","Republican Party",0.668176097339066,"Version A","100","Version A","A","Poor","Stay about the same","Very worried","Yes, changing routines or plans","Hours cut back"
92,"Political Survey","White","Male","College Grad","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Democratic Party",0.606758596269067,"Version B","1000","Version A","B","Poor","Get worse",NA,NA,NA
93,"Coronavirus Survey","White","Male","College Grad","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Democratic Party",0.606758596269067,"Version B","1000","Version B","B","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Working from home"
94,"Political Survey","White","Female","College Grad","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",0.639762847105695,"Version A","100","Version A","C","Poor","Get worse",NA,NA,NA
95,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Independent or another party",0.910278979871321,"Version B","20","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
96,"Political Survey","White","Male","College Grad","65+","West","West::65+::Male","Definitely will vote","Democratic Party",0.946285697033611,"Version B","100000","Version B","C","Poor","Stay about the same",NA,NA,NA
97,"Coronavirus Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Republican Party",0.766679362353337,"Version A","100","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
98,"Coronavirus Survey","White","Female","HS or Less","18-34","West","West::18-34::Female","Definitely will vote","Independent or another party",1.03139248557937,"Version A","100","Version A","A","Good","Stay about the same","Somewhat worried","Yes, changing routines or plans","Other change"
99,"Coronavirus Survey","Black or African American","Male","College Grad","35-44","South","South::35-44::Male","Definitely will vote","Independent or another party",0.721762902849825,"Version A","100","Version B","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
100,"Coronavirus Survey","Black or African American","Male","HS or Less","65+","Midwest","Midwest::65+::Male","Definitely will vote","Democratic Party",1.16713417663691,"Version A","700","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Other change"
101,"Political Survey","Hispanic","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",1.50127639154168,"Version A","100","Version B","A","Only Fair","Don't know",NA,NA,NA
102,"Coronavirus Survey","Black or African American","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.931491365733189,"Version A","100","Version B","B","Poor","Don't know","Somewhat worried","Yes, changing routines or plans","Not changed"
103,"Political Survey","Black or African American","Female","HS or Less","65+","Midwest","Midwest::65+::Female","Definitely will vote","Democratic Party",1.1343859755961,"Version B","210","Version A","C","Only Fair","Improve",NA,NA,NA
104,"Coronavirus Survey","White","Female","Some College or Associate","45-64","West","West::45-64::Female","Likely will not vote","Republican Party",0.826442391461008,"Version B","1000","Version A","A","Good","Improve","Very worried","Yes, changing routines or plans","Not changed"
105,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.910278979871321,"Version A","1000","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
106,"Political Survey","White","Male","Some College or Associate","35-44","Northeast","Northeast::35-44::Male","Definitely will vote","Independent or another party",0.685948033629868,"Version A","100","Version A","A","Poor","Improve",NA,NA,NA
107,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Independent or another party",0.913669251303991,"Version A","100","Version B","B","(Vol. DK/Refuse)","Stay about the same",NA,NA,NA
108,"Coronavirus Survey","White","Male","College Grad","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",0.720827036371313,"Version A","100","Version B","C","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
109,"Political Survey","White","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Republican Party",1.033272666407,"Version A","100","Version A","A","Good","Stay about the same",NA,NA,NA
110,"Political Survey","White","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Republican Party",0.785977552021026,"Version B","1000","Version A","A","Good","Improve",NA,NA,NA
111,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Likely will not vote","Independent or another party",1.07719885416449,"Version B","190","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
112,"Coronavirus Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Independent or another party",0.968063991660096,"Version B","1000","Version B","C","Poor","Get worse","Not too worried","Yes, changing routines or plans","Working from home"
113,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.661788843988599,"Version A","100","Version A","B","Poor","Get worse",NA,NA,NA
114,"Political Survey","White","Female","College Grad","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.663756695779641,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
115,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","(Vol. DK/Refuse)","Democratic Party",0.859811243045167,"Version A","1000","Version B","C","(Vol. DK/Refuse)","(Vol. DK/Refuse)","(Vol. DK/Refuse)","Yes, changing routines or plans","Not changed"
116,"Political Survey","Black or African American","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.931491365733189,"Version A","20","Version B","C","Only Fair","Get worse",NA,NA,NA
117,"Political Survey","Black or African American","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.931491365733189,"Version B","20",NA,NA,"Only Fair","Get worse",NA,NA,NA
118,"Political Survey","Black or African American","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",0.837780477827716,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
119,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Democratic Party",0.904731188571337,"Version B","100","Version B","C","Only Fair","Get worse",NA,NA,NA
120,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Democratic Party",0.904731188571337,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
121,"Coronavirus Survey","White","Female","Some College or Associate","18-34","South","South::18-34::Female","Definitely will vote","Independent or another party",0.865536008117197,"Version A","2","Version B","A","Only Fair","Get worse","Not worried at all","Yes, changing routines or plans","Working from home"
122,"Coronavirus Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will not vote","Independent or another party",1.20479958406647,"Version A","100","Version B","B","Only Fair","Don't know","Somewhat worried","Yes, changing routines or plans","Not changed"
123,"Political Survey","White","Male","Some College or Associate","65+","Midwest","Midwest::65+::Male","Likely will vote","Republican Party",0.919856792350644,"Version A","100","Version A","A","Poor","Stay about the same",NA,NA,NA
124,"Coronavirus Survey","White","Male","College Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.51213780792872,"Version B","100","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
125,"Political Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Definitely will vote","Republican Party",0.862382516348869,"Version A","100","Version B","A","Good","Improve",NA,NA,NA
126,"Political Survey","Other","Female","Post-Grad","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",0.933624136550002,"Version A","100","Version B","C","Poor","(Vol. DK/Refuse)",NA,NA,NA
127,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",1.01141412338944,"Version A","100","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Hours cut back"
128,"Coronavirus Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Democratic Party",0.747325603852101,"Version B","1000","Version B","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
129,"Coronavirus Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Likely will not vote","Independent or another party",1.02270682558252,"Version A","100","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
130,"Coronavirus Survey","White","Female","HS or Less","65+","South","South::65+::Female","Likely will vote","Independent or another party",1.07167181532095,"Version B","1000","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
131,"Coronavirus Survey","Other","Male","HS or Less","45-64","South","South::45-64::Male","Likely will vote","Republican Party",1.42293923809613,"Version B","1000","Version A","C","Only Fair","Don't know","Very worried","Yes, changing routines or plans","Not changed"
132,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will not vote","Independent or another party",0.904731188571337,"Version B","1000","Version B","B","Poor","Get worse",NA,NA,NA
